"month","👍","😍","😋","☕","🤤","🥗","👌","🌶️","🍜","🍔","🤩","🍣","😴","🔥","👫","🐔","🏃‍♂️","🍺","🍚","🍕","🌶","🥶","🤑","🛬","🛫","😁","🗣","🐟","🍻","🍹","🍫","🍗","🧀","🦐","🥞","🚘","😎","💻","💯","👨‍💻","🐓","🎄","🍷","🍩","🍞","🍛","🍖","🌮","🇹🇭","🇨🇦","🆒","❤️","❤","❌"
"1501545600000","0","18","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","4","3","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0","4","0","3","0","0","0","0","0"
"1504224000000","20","24","9","15","0","0","26","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","12","0","9","0"
"1506816000000","16","69","0","14","36","13","0","0","12","12","0","0","0","0","0","0","0","0","17","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0"
"1509494400000","74","97","40","64","43","0","28","0","32","0","0","28","0","35","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1512086400000","75","71","51","42","32","0","35","26","0","0","27","0","0","31","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1514764800000","19","25","42","18","17","11","17","16","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1517443200000","47","69","50","26","0","0","27","0","23","23","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1519862400000","72","84","76","65","0","29","28","0","0","40","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","30","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1522540800000","54","53","50","52","27","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","26","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0"
"1525132800000","73","53","91","40","0","27","0","0","0","25","0","0","0","0","0","0","0","23","0","0","24","0","22","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1527811200000","40","20","42","21","11","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","14","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"1530403200000","33","40","31","30","0","20","26","19","0","0","0","0","0","0","0","18","0","19","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1533081600000","28","24","38","32","13","12","0","17","0","0","0","15","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0"
"1535760000000","16","33","30","22","0","0","0","16","0","0","0","0","15","0","13","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1538352000000","28","31","34","15","12","0","0","17","0","0","0","0","14","0","19","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1541030400000","11","17","30","21","0","0","0","0","10","0","11","0","0","0","13","10","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1543622400000","23","0","26","30","0","0","0","0","0","0","0","0","14","0","0","0","16","26","0","0","0","0","0","16","19","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0"
"1546300800000","7","9","19","11","0","0","0","0","0","0","8","10","0","0","0","0","0","0","0","0","0","16","0","8","11","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1548979200000","12","0","9","0","4","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","4","0","0","0","0","0","0","5","0","0","0","0","0","0","0","6","0","0"
